Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Information,,,,,,,,Chromatogram Peak Areas,,,,,,,,Chlorophylls,,,,Carotenoids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sample
ID",Treatment,Tree Species,Month,Extraction Date,"Leaf Weight
(g)","Extraction
Volume
(ml)","HPLC 
Injection Volume
(µl)","Violaxanthin
HPLC Peak Area
(mAU*sec)","Neoxanthin
HPLC Peak Area
(mAU*sec)","Antheraxanthin
HPLC Peak Area
(mAU*sec)","Lutein
HPLC Peak Area
(mAU*sec)","Zeaxanthin
HPLC Peak Area
(mAU*sec)","Chlorophyll B
HPLC Peak Area
(mAU*sec)","Chlorophyll A
HPLC Peak Area
(mAU*sec)","Beta Carotene
HPLC Peak Area
(mAU*sec)","Chlorophyll B
Concentration
(µmol/g)","Chlorophyll A
Concentration
(µmol/g)","Chlorophyll Pool
(µmol/g)","Chlorophyll 
a/b 
Ratio","Violaxanthin
Concentration
(µmol/g)","Neoxanthin
Concentration
(µmol/g)","Antheraxanthin
Concentration
(µmol/g)","Lutein
Concentration
(µmol/g)","Zeaxanthin
Concentration
(µmol/g)","Beta Carotene
Concentration
(µmol/g)","Total Carotenoids/ChlA+ChlB
(mol/mol)","V+A+Z
(µmol/g)","V+A+Z /ChlA+ChlB
(mol/mol)",Z/V+A+Z,Z+A/V+A+Z,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170809 S3B1R2D,D,Spruce,August,171103,0.0274,0.71,40,82.2,114.2,17.9,559.6,10.7,449.5,840.4,171.6,0.181266207,0.526998277,0.708264484,2.907316742,0.016619325,0.035932051,0.004261458,0.08243582,0.003692447,0.059039324,0.285176553,0.02457323,0.034694991,0.150262992,0.323681694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170809 S3B2R2D,D,Spruce,August,171103,0.0268,0.74,40,76.9,96.1,12.1,490.4,0,394.1,781.2,171,0.169349035,0.522004836,0.69135387,3.082419911,0.016567502,0.032220214,0.003069585,0.076979991,0,0.062691599,0.277034526,0.019637087,0.028403815,0,0.156315692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170809 S9B1R2D,D,Spruce,August,171103,0.0266,0.72,40,101.5,129.4,19.4,633.1,14.9,533.3,1068.7,174.7,0.224647613,0.700038677,0.924686289,3.116163435,0.021436342,0.042529791,0.004824474,0.097421238,0.005371058,0.062785604,0.253457317,0.031631874,0.034208222,0.169798917,0.322318295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170809 S9B2R2D,D,Spruce,August,171103,0.0251,0.73,40,90.3,97.9,17.1,552.6,15.3,370.3,158.1,180.7,0.167603165,0.111274685,0.27887785,0.663917566,0.020491354,0.034573229,0.004569226,0.091367236,0.005926022,0.069778817,0.812921802,0.030986602,0.111111737,0.19124466,0.338702763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170809 S9B1R2,L,Spruce,August,171103,0.0266,0.74,40,99.5,120.4,15.3,590.3,8.6,471.2,972.3,166.1,0.204002143,0.654584526,0.858586669,3.208713973,0.021597672,0.040670984,0.003910559,0.093358386,0.003186187,0.061353031,0.260983344,0.028694418,0.033420526,0.111038559,0.247321484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170809 S9B2R2,L,Spruce,August,171103,0.0259,0.77,40,109.7,105.5,14.7,540.8,11,438.3,924.8,188.9,0.202787787,0.665356108,0.868143895,3.281046248,0.025446694,0.038084787,0.004015186,0.091402508,0.004355182,0.074565722,0.273998448,0.033817062,0.038953291,0.12878654,0.247519084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170920 P10B1R1D,D,Pine,September,171103,0.0279,0.74,40,138.4,142,28.4,717.8,0,561.5,1136.1,224.5,0.231769691,0.729221462,0.960991153,3.146319347,0.028641607,0.045732398,0.006920591,0.108233434,0,0.079060612,0.279491275,0.035562199,0.03700575,0,0.194605274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170920 P10B1R2D,D,Pine,September,180118,0.0260,0.74,40,66.1,94.1,29.3,635.3,19.8,584.1,1007.6,214.5,0.258716986,0.694003877,0.952720863,2.68248285,0.014678903,0.032520417,0.007661668,0.102793983,0.007504923,0.081059138,0.258437747,0.029845495,0.031326589,0.251459172,0.508170219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170920 P9B1R2D,D,Pine,September,180119,0.0242,0.77,40,55.2,69.1,38.8,456.1,36.4,417.1,831.4,230.7,0.206535597,0.640178,0.846713597,3.099601282,0.013704027,0.026696942,0.011342386,0.08250227,0.015424086,0.097462885,0.291872717,0.0404705,0.047797154,0.381119244,0.661382309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170920 P10B1R2,L,Pine,September,180119,0.0250,0.77,40,44.2,67.2,18.1,447,41.3,476.9,928.6,193.2,0.228590093,0.692141296,0.920731389,3.02787093,0.010622011,0.025132061,0.005121848,0.078268806,0.016940393,0.07900856,0.233611759,0.032684252,0.03549814,0.518304439,0.675011332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170920 P2B1R1,L,Pine,September,180118,0.0221,0.75,40,20.2,39.4,16.5,331.6,46.7,268.3,527.2,153.2,0.141699731,0.432971946,0.574671677,3.055559397,0.005348773,0.016235786,0.005144584,0.063975543,0.021106128,0.069030984,0.314687161,0.031599485,0.054987024,0.667926335,0.830732286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170920 P2B1R2,L,Pine,September,180118,0.0240,0.76,40,21.5,43.9,17,438.9,80.7,296.5,676.5,205.8,0.146118906,0.5184245,0.664543406,3.547963185,0.005312202,0.016880099,0.004945938,0.079012973,0.034032871,0.086529468,0.341156872,0.044291011,0.066648785,0.76839229,0.880061394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170920 P9B1R1,L,Pine,September,180118,0.0255,0.73,40,61,100.2,28.3,762,55.8,686.2,1275.2,278.2,0.305712191,0.883438557,1.189150748,2.889772087,0.013625307,0.034830404,0.007443316,0.124013259,0.021273531,0.105744093,0.258108495,0.042342154,0.035607053,0.502419671,0.678209408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170920 P9B1R2,L,Pine,September,180118,0.0251,0.73,40,66.8,91.8,38.1,580.1,33,530.6,1005.6,255.2,0.240157276,0.70776612,0.947923395,2.947094219,0.01515861,0.032419024,0.010180555,0.095914104,0.012781617,0.098547615,0.279560063,0.038120782,0.040215045,0.335292613,0.602353119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170920 S3B1R1D,D,Spruce,September,180118,0.0254,0.73,40,53.6,89.4,18.2,665.2,7.6,529.1,896.8,191.9,0.23664987,0.623734992,0.860384862,2.635687031,0.012019536,0.031198576,0.004805714,0.108685561,0.002908878,0.073228549,0.270630998,0.019734127,0.022936395,0.147403405,0.390926389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170920 S3B2R1D,D,Spruce,September,180118,0.0265,0.77,40,38.7,68.3,29.8,619.2,44.8,427.7,805.7,188.5,0.193403116,0.566543917,0.759947033,2.929342246,0.008773838,0.024097593,0.007955335,0.102283662,0.017335867,0.072723122,0.306823248,0.03406504,0.044825545,0.508904945,0.742438649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170920 S9B1R1D,D,Spruce,September,180118,0.0235,0.71,40,55.4,90.6,18.7,653.7,29.3,470.2,830.1,167.5,0.221081537,0.606926732,0.828008269,2.74526195,0.013059725,0.033237381,0.005190742,0.112279234,0.011789104,0.067192625,0.293171965,0.030039571,0.036279313,0.392452484,0.565249292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170920 S3B1R1,L,Spruce,September,180118,0.0270,0.74,40,45.3,77.2,22.6,556.4,19.5,470,778.8,167.9,0.200468056,0.516546311,0.717014367,2.576701359,0.009687237,0.025691731,0.005690806,0.086693302,0.007117464,0.061099121,0.273327384,0.022495507,0.031373858,0.316394914,0.569370125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170920 S3B2R1,L,Spruce,September,180118,0.0274,0.73,40,45.9,81.7,28.3,735.5,50.4,484.7,832.3,191.7,0.200966969,0.536620869,0.737587837,2.670194374,0.009541546,0.026430323,0.006927174,0.111400065,0.017882389,0.067812651,0.32537704,0.034351109,0.046572228,0.520576759,0.722234696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171018 P10B1R1D,D,Pine,October,180531,0.0235,0.70,40,115.4,63.8,59.4,533.9,16.4,421.4,788.1,171.5,0.195345798,0.568102723,0.763448521,2.908190141,0.026820679,0.023075917,0.016256011,0.090410853,0.00650574,0.06782825,0.302440104,0.04958243,0.064945348,0.131210601,0.459068891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171018 P10B1R2D,D,Pine,October,180119,0.0255,0.77,40,42.2,60.6,28.1,521.5,29.1,426.6,794.7,210.7,0.200470632,0.580723129,0.781193762,2.89679901,0.009942527,0.022219346,0.007795684,0.089523144,0.011702166,0.08447562,0.288863658,0.029440376,0.037686394,0.397486957,0.662282616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171018 P2B1R1D,D,Pine,October,180119,0.0251,0.77,40,54,64.4,25.6,506.1,30,377.6,767.7,214.4,0.180272032,0.569933139,0.750205171,3.161517255,0.012925416,0.023988936,0.007215299,0.088264042,0.012256345,0.087328921,0.309220687,0.03239706,0.043184266,0.378316573,0.601031191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171018 P9B1R2D,D,Pine,October,180119,0.0263,0.73,40,51.8,63.8,29.8,437.3,34.3,353.6,677.4,186.8,0.152742091,0.455017049,0.607759141,2.97898926,0.011218393,0.021502844,0.007599425,0.069004444,0.012678969,0.06884308,0.314017744,0.031496787,0.051824456,0.402548012,0.643824208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171018 P10B1R1,L,Pine,October,180531,0.0270,0.70,40,62.1,58.7,54,549.1,88.5,440.2,815.7,180.7,0.177608472,0.511776222,0.689384694,2.881485415,0.012562025,0.018479086,0.0128625,0.080931239,0.030556264,0.062202629,0.315634717,0.055980789,0.081203992,0.545834821,0.775601144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171018 P10B1R2,L,Pine,October,180119,0.0258,0.78,40,53.3,85.4,26.5,577.6,53.2,525.6,902.1,191.4,0.247291744,0.660001535,0.907293279,2.668918597,0.012572912,0.031350241,0.007360683,0.099273321,0.021419495,0.076830408,0.274230027,0.041353091,0.045578526,0.517966009,0.695961971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171018 P2B1R1,L,Pine,October,180119,0.0256,0.79,40,21.3,44.5,24.8,417.5,179.6,294.3,679.6,179,0.141337288,0.507523156,0.648860444,3.590865262,0.00512862,0.016674593,0.007031309,0.073244341,0.073810163,0.073342628,0.384106715,0.085970091,0.132493962,0.858556293,0.940344139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171018 P2B1R2,L,Pine,October,180119,0.0238,0.77,40,61.5,77.3,29,483.9,40.6,462.7,886.4,221.7,0.232966048,0.693999059,0.926965107,2.978970822,0.01552468,0.030366964,0.008620037,0.089002019,0.017492928,0.095234821,0.276430523,0.041637645,0.044918244,0.420122896,0.627147976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171018 P9B1R1,L,Pine,October,180119,0.0256,0.76,40,41.6,58.3,34.7,461.4,63.7,366.5,684.7,193.6,0.169327295,0.491914156,0.661241451,2.905108456,0.009636088,0.021016011,0.009464561,0.077872064,0.025184641,0.076312431,0.33192988,0.044285289,0.066972948,0.568690903,0.782408838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171018 S3B1R1D,D,Spruce,October,180119,0.0277,0.75,40,31.9,54.4,29.1,461.6,68.3,329.7,621.5,135.2,0.138924808,0.407228339,0.546153148,2.931285957,0.006739163,0.017884982,0.007238888,0.071052238,0.024627759,0.048604278,0.322523653,0.03860581,0.070686785,0.637928837,0.825436562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171018 S9B1R1D,D,Spruce,October,180119,0.0236,0.74,40,36.4,62.3,24.7,483.3,47.8,489.7,813.2,125.4,0.238962188,0.617067186,0.856029374,2.582279619,0.00890543,0.023720065,0.007115641,0.086152321,0.01996045,0.05220758,0.231372301,0.03598152,0.042033044,0.554741698,0.752499905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171018 S3B2R1,L,Spruce,October,180119,0.0235,0.75,40,33.8,76.2,30.4,614.2,111.6,522.4,927.4,178.3,0.259463298,0.716268511,0.975731809,2.760577378,0.008416739,0.029529527,0.00891383,0.111438096,0.047432968,0.075554625,0.288281864,0.064763537,0.066374322,0.732402369,0.870038918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171108 P10B1R1D,D,Pine,November,180119,0.0241,0.74,40,80.2,52.6,50.1,491.9,13.6,402.6,701.8,182.8,0.192383496,0.521486905,0.7138704,2.710663419,0.019214223,0.019611397,0.014133501,0.085866146,0.0055613,0.074525891,0.306655742,0.038909023,0.054504324,0.142930845,0.50617566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171108 P10B1R2D,D,Pine,November,180531,0.0223,0.69,40,41.6,51.8,81.9,535.3,93,427.8,764,170.2,0.205998649,0.572074978,0.778073627,2.777081209,0.010043182,0.019461759,0.023282279,0.09416119,0.038322151,0.069923007,0.32798126,0.071647612,0.092083332,0.534869904,0.859825306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171109 P2B1R1D,D,Pine,November,180531,0.0247,0.72,40,32,56.2,43.4,578,226.6,423.1,841,188.7,0.19193666,0.59326251,0.78519917,3.090928593,0.007278121,0.01989207,0.011623117,0.095784194,0.08796667,0.073033776,0.37643691,0.106867909,0.136102932,0.823134569,0.9318961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171109 P2B1R2D,D,Pine,November,180119,0.0263,0.74,40,20.4,41.7,23.5,490.3,239.8,406.1,804.3,204.6,0.177823161,0.547657962,0.725481123,3.079789832,0.004478576,0.014246892,0.006074929,0.078427493,0.08985616,0.076435993,0.371505246,0.100409664,0.138404241,0.894895532,0.955396966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171109 P9B1R1D,D,Pine,November,180531,0.0246,0.70,40,61.1,67.8,72.9,630.6,114.6,650,1047,227,0.287842988,0.720982927,1.008825915,2.504778499,0.013565566,0.02342614,0.01905846,0.102011085,0.043428043,0.085764014,0.284740216,0.076052069,0.075386712,0.57103039,0.821627916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171109 P9B1R2D,D,Pine,November,180531,0.0237,0.71,40,23.3,43.1,37.1,496.5,244.9,350.6,685.7,180.3,0.163456155,0.497118034,0.660574189,3.041292838,0.005446277,0.015678171,0.010211305,0.084558978,0.097706058,0.071716988,0.431923895,0.11336364,0.17161379,0.861881799,0.951957465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17108 P10B1R1,L,Pine,November,180119,0.0259,0.77,40,24,47.7,16.2,481.7,181.3,431.4,719.1,190.4,0.199595372,0.517363297,0.716958669,2.592060593,0.005567189,0.017219378,0.004424899,0.081413809,0.071781325,0.075157827,0.35645629,0.081773413,0.114055965,0.877807621,0.931919324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171108 P10B1R2,L,Pine,November,180531,0.0253,0.67,40,40.2,49,45.7,661.5,260,443.8,868.6,209,0.182903048,0.556659304,0.739562353,3.04346652,0.008306424,0.015756454,0.011119054,0.09958974,0.091695988,0.073488076,0.405585459,0.111121466,0.150253006,0.825186989,0.925249148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171109 P2B1R1,L,Pine,November,180119,0.0248,0.69,40,32.5,42.1,42.1,509.3,163.9,447,850.4,204.5,0.193546043,0.572579806,0.76612585,2.958364824,0.007055285,0.014222882,0.0107616,0.080556679,0.060729411,0.075545227,0.324843608,0.078546296,0.102524012,0.773167088,0.910176735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171109 P2B1R2,L,Pine,November,180119,0.0242,0.76,40,28.1,47.4,22.3,559.8,270.4,526,995.4,227,0.257077066,0.756504,1.013581066,2.942712905,0.006885545,0.018075265,0.006434287,0.099945119,0.113090889,0.09465431,0.334541979,0.126410721,0.124716933,0.894630518,0.945530371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171109 P2B3R1,L,Pine,November,180119,0.0246,0.75,40,26.4,47,40.4,547.9,206.4,411.6,808.6,214.3,0.195290396,0.596589024,0.791879421,3.054881528,0.006280061,0.017399314,0.011316311,0.094963765,0.083802805,0.086749032,0.379491221,0.101399177,0.128048759,0.826464351,0.938065957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171109 P9B1R1,L,Pine,November,180119,0.0245,0.75,40,46.7,71.4,58.5,629.3,180.9,588.2,1014.8,258.6,0.280220281,0.751780408,1.032000689,2.682819411,0.01115439,0.026540036,0.016453125,0.109517464,0.073749054,0.105109026,0.331902002,0.101356569,0.098213664,0.727619871,0.889949014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171109 P9B1R2,L,Pine,November,180119,0.0245,0.75,40,31,53.4,23.4,482.2,222.7,537.8,932.7,205,0.256209566,0.690959388,0.947168954,2.696852415,0.007404413,0.01984927,0.00658125,0.083917561,0.090790018,0.083323087,0.308145235,0.104775681,0.110619843,0.86651804,0.929330803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171108 S3B1R1D,D,Spruce,November,180604,0.0261,0.74,40,47.3,86.7,71.6,703.3,142.5,608.3,1082.3,192.7,0.268403635,0.742598789,1.011002424,2.766724039,0.01046372,0.029848219,0.018650977,0.113360643,0.053805761,0.072541952,0.295420926,0.082920459,0.082018061,0.648884029,0.873810147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171108 S3B2R1D,D,Spruce,November,180119,0.0275,0.73,40,42.5,80.6,56.7,749.2,161.1,634.9,1100,215.8,0.262285848,0.70664,0.968925848,2.694159849,0.008802639,0.025979651,0.013828357,0.113062453,0.056951926,0.076060279,0.304136076,0.079582921,0.082135203,0.715629997,0.889390355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
